IdCruceros,idNacionalidad,"Pais",Fecha,idfecha,idPuerto,"Puerto",TotalPersonas,CantidadVisitas,GastoTotal,GastoTours,GastoAlimentacion,GastoTransporte,GastoShopping,GastoOtros
17630,19,"Brasil",2023-01-18,15723,1,"Montevideo",1,0,9.63,0.0,9.63,0.0,0.0,0.0
17631,19,"Brasil",2023-01-31,15736,1,"Montevideo",3,0,9.63,0.0,9.63,0.0,0.0,0.0
17632,19,"Brasil",2023-02-14,15750,1,"Montevideo",5,0,9.66,0.0,9.66,0.0,0.0,0.0
17633,19,"Brasil",2023-01-10,15715,1,"Montevideo",1,0,11.56,0.0,11.56,0.0,0.0,0.0
17634,19,"Brasil",2023-01-24,15729,1,"Montevideo",2,0,11.56,0.0,11.56,0.0,0.0,0.0
17635,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,13.52,0.0,13.52,0.0,0.0,0.0
17636,10,"Argentina",2022-12-27,15701,1,"Montevideo",2,0,19.04,0.0,19.04,0.0,0.0,0.0
17637,19,"Brasil",2023-01-18,15723,1,"Montevideo",3,0,19.26,0.0,19.26,0.0,0.0,0.0
17638,19,"Brasil",2023-02-01,15737,1,"Montevideo",2,0,19.31,0.0,19.31,0.0,0.0,0.0
17639,19,"Brasil",2023-02-14,15750,1,"Montevideo",2,0,19.31,0.0,19.31,0.0,0.0,0.0
17640,19,"Brasil",2023-02-14,15750,1,"Montevideo",2,0,19.31,0.0,19.31,0.0,0.0,0.0
17641,19,"Brasil",2023-02-28,15764,1,"Montevideo",4,0,19.31,0.0,19.31,0.0,0.0,0.0
17642,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,19.31,0.0,19.31,0.0,0.0,0.0
17643,19,"Brasil",2023-01-18,15723,1,"Montevideo",2,0,28.9,0.0,28.9,0.0,0.0,0.0
17644,19,"Brasil",2023-01-18,15723,1,"Montevideo",2,0,28.9,0.0,28.9,0.0,0.0,0.0
17645,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,28.97,0.0,28.97,0.0,0.0,0.0
17646,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,28.97,0.0,28.97,0.0,0.0,0.0
17647,19,"Brasil",2023-02-28,15764,1,"Montevideo",1,0,28.97,0.0,28.97,0.0,0.0,0.0
17648,19,"Brasil",2023-03-14,15778,1,"Montevideo",4,0,36.51,0.0,36.51,0.0,0.0,0.0
17649,19,"Brasil",2023-03-07,15771,1,"Montevideo",2,0,38.43,0.0,38.43,0.0,0.0,0.0
17650,19,"Brasil",2023-03-14,15778,1,"Montevideo",2,0,38.43,0.0,38.43,0.0,0.0,0.0
17651,19,"Brasil",2023-03-17,15781,1,"Montevideo",2,0,38.43,0.0,38.43,0.0,0.0,0.0
17652,19,"Brasil",2023-03-17,15781,1,"Montevideo",2,0,38.43,0.0,38.43,0.0,0.0,0.0
17653,19,"Brasil",2023-03-21,15785,1,"Montevideo",2,0,38.43,0.0,38.43,0.0,0.0,0.0
17654,19,"Brasil",2023-01-03,15708,1,"Montevideo",1,0,38.53,0.0,38.53,0.0,0.0,0.0
17655,19,"Brasil",2023-01-03,15708,1,"Montevideo",1,0,38.53,0.0,38.53,0.0,0.0,0.0
17656,19,"Brasil",2023-01-24,15729,1,"Montevideo",5,0,38.53,0.0,38.53,0.0,0.0,0.0
17657,19,"Brasil",2023-01-31,15736,1,"Montevideo",2,0,38.53,0.0,38.53,0.0,0.0,0.0
17658,19,"Brasil",2023-02-01,15737,1,"Montevideo",4,0,38.62,0.0,38.62,0.0,0.0,0.0
17659,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,38.62,0.0,38.62,0.0,0.0,0.0
17660,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,38.62,0.0,38.62,0.0,0.0,0.0
17661,19,"Brasil",2023-01-18,15723,1,"Montevideo",3,0,42.38,0.0,42.38,0.0,0.0,0.0
